,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month Full
0,VGC,1.1,40.2,53.0,40.1,53.0,46.11,4.79,"1,655,381.82","625,039.08",31.84,28.57
1,YEG,1.1,16.6,21.8,16.25,26.1,21.87,2.92,"566,431.82","309,173.80",31.33,28.11
2,LMH,1.1,7.2,9.4,7.1,9.4,7.88,0.62,"702,797.41","679,841.94",30.56,27.43
3,ANV,1.1,47.5,57.0,47.5,63.7,56.4,4.01,"2,169,081.82","650,293.23",20.0,18.03
4,DGC,1.1,103.63,122.6,98.61,134.7,117.88,10.79,"2,164,254.55","1,047,042.79",18.3,16.51
5,BSR,1.1,23.8,28.0,23.8,32.7,28.83,2.79,"20,612,249.18","8,073,294.57",17.65,15.92
6,MPC,1.1,40.5,46.3,40.5,51.2,45.71,3.21,"248,945.05","159,843.79",14.32,12.94
7,KDC,1.1,54.6,61.7,54.6,65.4,61.93,2.76,"1,365,972.73","326,387.94",13.0,11.75
8,CEN,1.1,9.45,10.4,9.45,12.1,10.96,0.67,"326,185.00","131,575.78",10.04,9.09
9,FRT,1.1,82.69,90.7,82.29,102.7,91.88,5.93,"1,536,386.36","614,644.24",9.68,8.77
10,NT2,1.1,22.25,24.3,22.25,29.0,25.38,2.15,"2,818,559.09","1,970,029.76",9.21,8.34
11,SSB,1.1,28.71,31.2,26.49,31.2,28.88,1.2,"2,122,872.73","351,485.07",8.68,7.86
12,HDG,1.1,50.5,54.8,48.45,58.5,52.61,2.55,"2,068,995.45","983,915.46",8.51,7.71
13,PNJ,1.1,113.71,122.0,111.72,127.83,119.99,4.47,"1,280,563.64","622,011.71",7.29,6.61
14,MSH,1.1,48.34,51.6,48.34,59.9,53.76,3.05,"126,690.91","40,915.02",6.75,6.12
15,PC1,1.1,35.7,38.1,35.6,45.5,39.65,2.7,"2,618,709.09","1,296,774.46",6.72,6.09
16,GAS,1.1,107.6,114.0,107.6,134.0,120.94,7.43,"1,669,395.45","658,200.62",5.95,5.39
17,TNH,1.1,39.2,41.5,37.0,43.85,40.67,1.99,"294,354.55","146,841.27",5.87,5.32
18,GEG,1.1,21.51,22.75,21.41,25.5,23.1,1.02,"2,420,036.36","1,156,984.24",5.76,5.23
19,TNG,1.1,28.25,29.8,27.52,33.0,29.72,1.72,"3,705,966.64","1,472,722.55",5.48,4.97
20,CTD,1.1,49.4,52.0,49.4,57.6,53.88,2.85,"567,240.91","233,283.79",5.26,4.77
21,CSV,1.1,44.84,46.8,44.84,53.71,49.15,2.89,"745,436.36","241,928.54",4.37,3.97
22,MWG,1.1,69.05,71.9,69.05,79.0,73.78,2.7,"2,495,877.27","1,403,397.39",4.13,3.75
23,LTG,1.1,36.3,37.6,35.4,42.5,39.4,2.09,"544,384.73","190,431.42",3.58,3.25
24,VNE,1.1,11.75,12.15,11.75,12.6,12.2,0.29,"386,004.55","184,874.86",3.4,3.09
25,PHR,1.1,62.9,64.9,61.3,73.5,66.28,3.2,"531,113.64","220,109.32",3.18,2.89
26,POW,1.1,13.15,13.55,13.0,16.1,14.33,0.95,"22,792,740.91","10,704,416.91",3.04,2.76
27,VPI,1.1,61.4,63.2,60.6,63.9,61.66,0.94,"1,081,609.09","268,740.13",2.93,2.66
28,CNG,1.1,36.0,37.0,35.35,44.8,39.97,2.72,"366,722.73","161,850.84",2.78,2.52
29,VJC,1.1,125.0,128.3,124.5,132.5,127.47,2.17,"703,372.73","136,143.61",2.64,2.4
30,BWE,1.1,49.9,51.2,49.5,57.5,52.48,2.45,"424,154.55","270,090.02",2.61,2.37
31,BVH,1.1,53.5,54.8,50.1,56.1,53.0,1.65,"1,588,418.18","674,508.61",2.43,2.21
32,REE,1.1,83.8,85.8,79.8,99.0,91.13,5.07,"1,692,577.27","747,807.76",2.39,2.17
33,DCM,1.1,35.3,36.0,34.25,43.25,38.82,2.94,"6,924,404.55","2,149,892.12",1.98,1.8
34,SAB,1.1,153.0,155.6,150.0,159.9,154.88,2.59,"158,945.45","74,545.99",1.7,1.54
35,VEA,1.1,43.8,44.4,42.8,47.0,44.71,1.12,"107,321.95","79,952.61",1.37,1.24
36,MSN,1.1,108.6,109.5,106.0,119.3,112.24,4.18,"985,618.18","414,797.37",0.83,0.75
