,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year Full
0,BSI,1.0,16.87,46.5,15.37,48.25,31.77,9.94,"1,193,732.53","714,264.01",175.6,175.6
1,VIX,1.0,6.3,16.95,5.71,20.6,12.28,4.62,"23,432,814.06","13,865,200.71",168.88,168.88
2,FTS,1.0,17.58,43.95,15.62,47.3,31.71,9.46,"1,877,585.14","853,489.71",149.94,149.94
3,VDS,1.0,7.3,16.9,7.2,19.1,13.09,3.6,"783,053.01","574,464.55",131.51,131.51
4,AGR,1.0,7.71,16.6,7.08,19.56,13.08,3.34,"1,776,603.21","1,020,755.55",115.3,115.3
5,SHS,1.0,9.1,18.4,8.0,20.5,13.99,3.81,"21,540,022.39","10,313,166.61",102.2,102.2
6,CTS,1.0,14.5,28.4,12.2,32.8,21.83,5.64,"1,879,180.32","812,333.63",95.86,95.86
7,MBS,1.0,12.44,23.2,11.14,24.5,17.53,3.83,"3,708,151.06","1,757,357.33",86.44,86.44
8,SSI,1.0,18.66,33.85,17.56,36.45,26.64,5.59,"21,347,851.81","9,681,575.37",81.36,81.36
9,IVS,1.0,6.2,10.1,5.0,14.0,8.9,2.67,"144,530.86","181,178.11",62.9,62.9
10,VIG,1.0,4.7,7.6,4.7,10.8,7.33,1.33,"628,851.71","493,498.68",61.7,61.7
11,HBS,1.0,4.9,7.9,4.9,11.4,7.69,1.86,"104,967.65","120,941.07",61.22,61.22
12,PSI,1.0,5.7,9.0,5.2,12.2,8.04,1.61,"176,640.73","198,451.44",57.89,57.89
13,HCM,1.0,15.65,24.55,15.48,24.91,19.56,2.46,"6,109,440.96","2,757,596.00",56.82,56.82
14,VCI,1.0,27.73,42.0,24.62,50.5,36.98,6.32,"5,623,452.61","2,323,342.36",51.49,51.49
15,VND,1.0,15.0,21.8,13.4,25.25,18.65,3.05,"26,580,751.41","12,814,859.62",45.33,45.33
16,BVS,1.0,18.86,25.6,15.78,29.55,22.73,3.55,"352,993.76","285,193.51",35.72,35.72
17,EVS,1.0,6.81,8.3,5.38,12.3,8.12,1.75,"359,427.20","293,908.47",21.83,21.83
18,APS,1.0,9.4,6.4,5.7,15.9,9.37,2.91,"1,939,837.78","1,748,915.54",-31.91,-31.91
,,,,,,
